task_name,program,search_time,evaluation_time,nb_programs,cumulative_probability,probability
(AT_LEAST_2 2 IS_YELLOW IS_PYRAMID),(OR (EVEN_1 IS_BLUE) (EXACTLY_2 2 IS_YELLOW IS_PYRAMID) var0),0.6082139164209366,1.6257839743047953,14486,0.905893305318841,3.789605569278789e-06
(AT_LEAST_2 2 IS_YELLOW IS_PYRAMID),(OR (EXACTLY_1 2 IS_PYRAMID) (AT_LEAST_2 2 IS_YELLOW IS_PYRAMID) var0),0.6583541333675385,1.794430399313569,15790,0.9105625307851881,3.375021268813653e-06
(EVEN_INTERACTION (POINTING IS_RED IS_FLAT)),(AT_LEAST_2 2 IS_RED IS_GROUNDED var0),0.012813868001103401,0.030177725479006767,330,0.529907619822186,0.0005290196536214283
(EVEN_INTERACTION (POINTING IS_RED IS_FLAT)),(AT_LEAST_2 2 IS_RED IS_HORIZONTAL var0),0.04436284117400646,0.07737003639340401,962,0.6892747918093622,0.00013608190225027823
(EVEN_INTERACTION (POINTING IS_RED IS_FLAT)),(EVEN_INTERACTION (POINTING IS_RED IS_FLAT) var0),0.0695632565766573,0.11210542730987072,1462,0.7405586941272716,7.726057673333763e-05
(EVEN_INTERACTION (POINTING IS_RED IS_FLAT)),(AT_LEAST_1 2 IS_RED var0),0.08217747323215008,0.13040378503501415,1696,0.7565124016485877,5.9555324548124406e-05
(EVEN_INTERACTION (POINTING IS_RED IS_FLAT)),(OR (EVEN_1 IS_RED) (AT_LEAST_1 2 IS_RED) var0),0.11200673319399357,0.18465254828333855,2280,0.7845390441375922,3.847782259556006e-05
(EVEN_INTERACTION (POINTING IS_RED IS_FLAT)),(OR (AT_LEAST_1 2 IS_RED) (AT_LEAST_1 2 IS_RED) var0),0.11339031904935837,0.19009301252663136,2306,0.7855305066524285,3.773192265710366e-05
(EVEN_INTERACTION (POINTING IS_RED IS_FLAT)),(OR (AT_LEAST_1 2 IS_RED) (EVEN_1 IS_RED) var0),0.12954077124595642,0.23164799064397812,2643,0.7969804246860961,3.085363825193805e-05
(EVEN_INTERACTION (POINTING IS_RED IS_FLAT)),(AT_LEAST_2 2 IS_RED IS_RED var0),0.1327359974384308,0.24203767254948616,2711,0.7990417209195629,2.9845980840899948e-05
(EVEN_INTERACTION (POINTING IS_RED IS_FLAT)),(AT_LEAST_INTERACTION 1 (POINTING IS_RED IS_FLAT) var0),0.15062002278864384,0.2841711435467005,3077,0.808942736194927,2.438721439132593e-05
(EVEN_INTERACTION (POINTING IS_RED IS_FLAT)),(OR (EVEN_1 IS_VERTICAL) (AT_LEAST_1 2 IS_RED) var0),0.16239147633314133,0.32437924295663834,3356,0.8153930878054574,2.1901576068730535e-05
(AND (AT_LEAST_1 3 IS_RED) (EXACTLY_1 1 IS_PYRAMID)),(AT_LEAST_1 3 IS_RED var0),0.06150982528924942,0.08778023906052113,1309,0.7277082392835443,9.132771530602432e-05
(AND (AT_LEAST_1 3 IS_RED) (EXACTLY_1 1 IS_PYRAMID)),(AT_LEAST_2 3 IS_RED IS_RED var0),0.11495181359350681,0.17747813276946545,2356,0.7873835403756705,3.626711715768149e-05
(AND (AT_LEAST_1 3 IS_RED) (EXACTLY_1 1 IS_PYRAMID)),(OR (EVEN_1 IS_PYRAMID) (AT_LEAST_1 3 IS_RED) var0),0.2748782504349947,0.6952643636614084,6074,0.8552732041046608,1.0280930273778901e-05
(AND (AT_LEAST_1 3 IS_RED) (EXACTLY_1 1 IS_PYRAMID)),(OR (AT_LEAST_1 3 IS_RED) (AT_LEAST_2 1 IS_YELLOW IS_FLAT) var0),0.29701455496251583,0.7722060903906822,6605,0.8604560217634554,9.296591024439093e-06
(AND (AT_LEAST_1 3 IS_RED) (EXACTLY_1 1 IS_PYRAMID)),(OR (AT_LEAST_1 3 IS_RED) (EVEN_2 IS_BLUE IS_BLOCK) var0),0.31433369778096676,0.8341924399137497,7026,0.8642365688869846,8.633266296288521e-06
(AND (AT_LEAST_1 3 IS_RED) (EXACTLY_1 1 IS_PYRAMID)),(OR (AT_LEAST_1 3 IS_RED) (EVEN_1 IS_PYRAMID) var0),0.32427581772208214,0.8687441982328892,7282,0.8663949404430719,8.243819674772534e-06
(AND (AT_LEAST_1 3 IS_RED) (EXACTLY_1 1 IS_PYRAMID)),(OR (EVEN_1 IS_YELLOW) (AT_LEAST_1 3 IS_RED) var0),0.32869696617126465,0.8853793200105429,7399,0.8673509136718702,8.105141650789052e-06
(AND (AT_LEAST_1 3 IS_RED) (EXACTLY_1 1 IS_PYRAMID)),(OR (AT_LEAST_1 3 IS_RED) (EXACTLY_2 2 IS_BLUE IS_PYRAMID) var0),0.3495117127895355,0.964337345212698,7929,0.8714760046830663,7.485547300710632e-06
(AND (AT_LEAST_1 3 IS_RED) (EXACTLY_1 1 IS_PYRAMID)),(OR (AT_LEAST_1 3 IS_RED) (MORE_THAN IS_PYRAMID IS_PYRAMID) var0),0.36150435730814934,1.012399209663272,8233,0.8737031579853167,7.179602291653305e-06
(AND (AT_LEAST_1 3 IS_RED) (EXACTLY_1 1 IS_PYRAMID)),(OR (EXACTLY_1 2 IS_PYRAMID) (AT_LEAST_1 3 IS_RED) var0),0.39125601202249527,1.1161561030894518,8972,0.8787530589071862,6.510722267464716e-06
(MORE_THAN IS_WEDGE IS_CHEESECAKE),(MORE_THAN IS_WEDGE IS_CHEESECAKE var0),0.007495623081922531,0.01832611672580242,207,0.44279262199944774,0.0009185124666720247
(MORE_THAN IS_WEDGE IS_CHEESECAKE),(OR (AT_LEAST_1 2 IS_WEDGE) (MORE_THAN IS_WEDGE IS_CHEESECAKE) var0),0.4776458404958248,1.4581423662602901,11217,0.8915847571978359,5.054168511109991e-06
(MORE_THAN IS_WEDGE IS_CHEESECAKE),(OR (EVEN_1 IS_WEDGE) (MORE_THAN IS_WEDGE IS_CHEESECAKE) var0),0.9504421185702085,3.3682185281068087,23514,0.9305487382416275,1.989671956657354e-06
(MORE_THAN IS_WEDGE IS_CHEESECAKE),(OR (EXACTLY_1 3 IS_PYRAMID) (MORE_THAN IS_WEDGE IS_CHEESECAKE) var0),0.9838306065648794,3.5085928346961737,24380,0.9322309563919589,1.8968517981523156e-06
(MORE_THAN IS_WEDGE IS_CHEESECAKE),(OR (AT_LEAST_1 3 IS_WEDGE) (MORE_THAN IS_WEDGE IS_CHEESECAKE) var0),1.0696147251874208,3.8444475047290325,26578,0.9361746296766483,1.6926056544027983e-06
(MORE_THAN IS_WEDGE IS_CHEESECAKE),(OR (EXACTLY_1 2 IS_CHEESECAKE) (MORE_THAN IS_WEDGE IS_CHEESECAKE) var0),1.2675957009196281,4.65181965008378,31687,0.9438019404826257,1.3144493534860862e-06
(MORE_THAN IS_WEDGE IS_CHEESECAKE),(OR (EVEN_1 IS_CHEESECAKE) (MORE_THAN IS_WEDGE IS_CHEESECAKE) var0),1.4511202033609152,5.395031630992889,36439,0.9494454656572298,1.0703713727464409e-06
(MORE_THAN IS_WEDGE IS_CHEESECAKE),(OR (EXACTLY_1 2 IS_WEDGE) (MORE_THAN IS_WEDGE IS_CHEESECAKE) var0),1.5323775373399258,5.748187048360705,38562,0.9516138412685952,9.740539568669647e-07
(MORE_THAN IS_WEDGE IS_CHEESECAKE),(OR (EXACTLY_1 3 IS_CHEESECAKE) (MORE_THAN IS_WEDGE IS_CHEESECAKE) var0),1.545768553391099,5.801844112575054,38906,0.9519467511310598,9.613191054242135e-07
(MORE_THAN IS_WEDGE IS_CHEESECAKE),(OR (EXACTLY_1 3 IS_WEDGE) (MORE_THAN IS_WEDGE IS_CHEESECAKE) var0),1.8543057907372713,7.0546243619173765,46932,0.9585972692642679,7.123718201594274e-07
(MORE_THAN IS_UPRIGHT IS_YELLOW),(MORE_THAN IS_UPRIGHT IS_YELLOW var0),0.007172960788011551,0.014569371938705444,202,0.43815553566451715,0.0009367338955839859
(MORE_THAN IS_UPRIGHT IS_YELLOW),(MORE_THAN IS_VERTICAL IS_YELLOW var0),0.008745301514863968,0.01872345432639122,241,0.47210905834384465,0.000815057514970136
(MORE_THAN IS_UPRIGHT IS_YELLOW),(OR (EVEN_1 IS_UPRIGHT) (MORE_THAN IS_UPRIGHT IS_YELLOW) var0),0.2670584265142679,0.5692639965564013,5936,0.8538334260634899,1.058305370741989e-05
(MORE_THAN IS_UPRIGHT IS_YELLOW),(OR (EVEN_1 IS_BLUE) (MORE_THAN IS_UPRIGHT IS_YELLOW) var0),0.26807557232677937,0.5732968021184206,5961,0.8540973909079822,1.0538560997970718e-05
(MORE_THAN IS_UPRIGHT IS_YELLOW),(OR (EXACTLY_1 2 IS_BLUE) (MORE_THAN IS_UPRIGHT IS_YELLOW) var0),0.42681403271853924,1.0489409677684307,9946,0.8847210619860791,5.799272183281687e-06
(MORE_THAN IS_UPRIGHT IS_YELLOW),(OR (AT_LEAST_1 2 IS_BLUE) (MORE_THAN IS_UPRIGHT IS_YELLOW) var0),0.4407685939222574,1.0934293121099472,10299,0.8867269218399125,5.567950998652891e-06
(MORE_THAN IS_UPRIGHT IS_YELLOW),(OR (EXACTLY_1 3 IS_PYRAMID) (MORE_THAN IS_UPRIGHT IS_YELLOW) var0),0.480974143370986,1.2184263970702887,11335,0.8921777406219729,4.9984790255975006e-06
(MORE_THAN IS_UPRIGHT IS_YELLOW),(OR (AT_LEAST_1 3 IS_WEDGE) (MORE_THAN IS_UPRIGHT IS_YELLOW) var0),0.5295679569244385,1.3693588711321354,12582,0.8980741628685439,4.460257082336707e-06
(MORE_THAN IS_UPRIGHT IS_YELLOW),(OR (AT_LEAST_1 3 IS_RED) (MORE_THAN IS_UPRIGHT IS_YELLOW) var0),0.5309459548443556,1.375031240284443,12619,0.8982388561485868,4.44227281366481e-06
(MORE_THAN IS_UPRIGHT IS_YELLOW),(OR (EXACTLY_1 3 IS_BLUE) (MORE_THAN IS_UPRIGHT IS_YELLOW) var0),0.5501009356230497,1.4425341915339231,13131,0.9004618008302174,4.24127942030648e-06
(AT_LEAST_INTERACTION 1 (ON_TOP_OF IS_YELLOW IS_CHEESECAKE)),(AT_LEAST_INTERACTION 1 (TOUCHING IS_WEDGE IS_YELLOW) var0),0.03989390283823013,0.04655485972762108,887,0.6786837595763517,0.0001483312785980035
(AT_LEAST_INTERACTION 1 (ON_TOP_OF IS_YELLOW IS_CHEESECAKE)),(ODD_INTERACTION (ON_TOP_OF IS_YELLOW IS_WEDGE) var0),0.04846678860485554,0.05468546412885189,1054,0.7009283399168658,0.00011993942996319835
(AT_LEAST_INTERACTION 1 (ON_TOP_OF IS_YELLOW IS_CHEESECAKE)),(ODD_INTERACTION (ON_TOP_OF IS_YELLOW IS_HORIZONTAL) var0),0.06241147965192795,0.06916971504688263,1338,0.7303007806592527,8.791565458237391e-05
(AT_LEAST_INTERACTION 1 (ON_TOP_OF IS_YELLOW IS_CHEESECAKE)),(AT_LEAST_INTERACTION 1 (TOUCHING IS_CHEESECAKE IS_YELLOW) var0),0.08249448053538799,0.08922144025564194,1721,0.7579845982488352,5.824528344222346e-05
(AT_LEAST_INTERACTION 1 (ON_TOP_OF IS_YELLOW IS_CHEESECAKE)),(AT_LEAST_INTERACTION 1 (TOUCHING IS_YELLOW IS_WEDGE) var0),0.0976361446082592,0.10982131026685238,2016,0.773303880104329,4.680213989065402e-05
(AT_LEAST_INTERACTION 1 (ON_TOP_OF IS_YELLOW IS_CHEESECAKE)),(AT_LEAST_INTERACTION 1 (ON_TOP_OF IS_YELLOW IS_WEDGE) var0),0.13360349647700787,0.16848348453640938,2773,0.8008550085929769,2.8805967500484797e-05
(AT_LEAST_INTERACTION 1 (ON_TOP_OF IS_YELLOW IS_CHEESECAKE)),(ODD_INTERACTION (ON_TOP_OF IS_YELLOW IS_CHEESECAKE) var0),0.1348393801599741,0.17095227167010307,2802,0.8016830578754287,2.8349754473659094e-05
(AT_LEAST_INTERACTION 1 (ON_TOP_OF IS_YELLOW IS_CHEESECAKE)),(AT_LEAST_INTERACTION 1 (ON_TOP_OF IS_YELLOW IS_HORIZONTAL) var0),0.16348224692046642,0.2349091786891222,3438,0.8171575584015707,2.111478676746062e-05
(AT_LEAST_INTERACTION 1 (ON_TOP_OF IS_YELLOW IS_CHEESECAKE)),(EXACTLY_INTERACTION 1 (ON_TOP_OF IS_YELLOW IS_WEDGE) var0),0.16632063873112202,0.24103654362261295,3501,0.818474010469672,2.0634359393943373e-05
(AT_LEAST_INTERACTION 1 (ON_TOP_OF IS_YELLOW IS_CHEESECAKE)),(EXACTLY_INTERACTION 1 (ON_TOP_OF IS_YELLOW IS_HORIZONTAL) var0),0.2063529808074236,1.2180305663496256,4450,0.8351235355512951,1.5124994453976583e-05
(EVEN_INTERACTION (TOUCHING IS_HORIZONTAL IS_UPSIDE_DOWN)),(ODD_INTERACTION (TOUCHING IS_UPSIDE_DOWN IS_HORIZONTAL) var0),0.08045000769197941,0.12061348930001259,1683,0.7557325774696451,6.0729738699687175e-05
(EVEN_INTERACTION (TOUCHING IS_HORIZONTAL IS_UPSIDE_DOWN)),(EXACTLY_INTERACTION 1 (TOUCHING IS_UPSIDE_DOWN IS_HORIZONTAL) var0),0.1078507024794817,0.1740791704505682,2237,0.7828584752025297,3.9677313855078726e-05
(EVEN_INTERACTION (TOUCHING IS_HORIZONTAL IS_UPSIDE_DOWN)),(AT_LEAST_INTERACTION 1 (TOUCHING IS_UPSIDE_DOWN IS_HORIZONTAL) var0),0.11216745525598526,0.1821539755910635,2316,0.7859069750948691,3.757460280232875e-05
(EVEN_INTERACTION (TOUCHING IS_HORIZONTAL IS_UPSIDE_DOWN)),(AT_LEAST_INTERACTION 1 (TOUCHING IS_HORIZONTAL IS_UPSIDE_DOWN) var0),0.12283613160252571,0.2077464573085308,2545,0.7938768539634375,3.242962081493969e-05
(EVEN_INTERACTION (TOUCHING IS_HORIZONTAL IS_UPSIDE_DOWN)),(ODD_INTERACTION (TOUCHING IS_UPSIDE_DOWN IS_FLAT) var0),0.12299984693527222,0.20868033729493618,2547,0.7939416947290462,3.241723512103696e-05
(EVEN_INTERACTION (TOUCHING IS_HORIZONTAL IS_UPSIDE_DOWN)),(AT_LEAST_INTERACTION 2 (TOUCHING IS_HORIZONTAL IS_UPSIDE_DOWN) var0),0.14285729825496674,0.2532868105918169,2958,0.8059410542486587,2.6114223947110792e-05
(EVEN_INTERACTION (TOUCHING IS_HORIZONTAL IS_UPSIDE_DOWN)),(EXACTLY_INTERACTION 1 (TOUCHING IS_UPSIDE_DOWN IS_FLAT) var0),0.1632340457290411,0.3083357196301222,3433,0.8170518573285084,2.117955452717747e-05
(EVEN_INTERACTION (TOUCHING IS_HORIZONTAL IS_UPSIDE_DOWN)),(AT_LEAST_INTERACTION 1 (TOUCHING IS_UPSIDE_DOWN IS_FLAT) var0),0.16974631696939468,0.3255295902490616,3568,0.8198358066699964,2.0057137733558856e-05
(EVEN_INTERACTION (TOUCHING IS_HORIZONTAL IS_UPSIDE_DOWN)),(EVEN_INTERACTION (TOUCHING IS_GROUNDED IS_UPSIDE_DOWN) var0),0.1759178377687931,0.34436156041920185,3709,0.8225899739365748,1.9060779702030015e-05
(EVEN_INTERACTION (TOUCHING IS_HORIZONTAL IS_UPSIDE_DOWN)),(AT_LEAST_INTERACTION 1 (TOUCHING IS_FLAT IS_UPSIDE_DOWN) var0),0.199008297175169,0.4174495954066515,4260,0.8321838824986274,1.589895987912113e-05
(EXACTLY_2 3 IS_BLUE IS_FLAT),(AT_LEAST_1 3 IS_BLUE var0),0.005365427583456039,0.01228044368326664,154,0.38646607416784834,0.00123959909497738
(EXACTLY_2 3 IS_BLUE IS_FLAT),(AT_LEAST_1 2 IS_BLUE var0),0.008889423683285713,0.024570418521761894,243,0.4737297532146322,0.000808349154639823
(EXACTLY_2 3 IS_BLUE IS_FLAT),(AT_LEAST_2 1 IS_BLUE IS_PYRAMID var0),0.015719275921583176,0.038369547575712204,395,0.5607218210717045,0.00043096450436257323
(EXACTLY_2 3 IS_BLUE IS_FLAT),(ODD_2 IS_BLUE IS_FLAT var0),0.019385550171136856,0.04482065699994564,476,0.591034652888349,0.00032554497805400344
(EXACTLY_2 3 IS_BLUE IS_FLAT),(MORE_THAN IS_BLUE IS_VERTICAL var0),0.028935253620147705,0.0571783147752285,667,0.6401560609983686,0.0002092045915517017
(EXACTLY_2 3 IS_BLUE IS_FLAT),(AT_LEAST_2 2 IS_BLUE IS_GROUNDED var0),0.05238170363008976,0.08042602054774761,1110,0.7074441679976338,0.00011314482060670737
(EXACTLY_2 3 IS_BLUE IS_FLAT),(EXACTLY_2 3 IS_BLUE IS_FLAT var0),0.060042090713977814,0.09007560648024082,1273,0.7243435276390997,9.502222933940389e-05
(EXACTLY_2 3 IS_BLUE IS_FLAT),(AT_LEAST_2 1 IS_BLUE IS_FLAT var0),0.06454064324498177,0.09616813249886036,1365,0.7326500342797495,8.571600280281141e-05
(EXACTLY_2 3 IS_BLUE IS_FLAT),(AT_LEAST_2 3 IS_BLUE IS_FLAT var0),0.08368994295597076,0.11898414045572281,1727,0.7583325546956196,5.7837510997437746e-05
(EXACTLY_2 3 IS_BLUE IS_FLAT),(AT_LEAST_2 2 IS_BLUE IS_FLAT var0),0.09648415632545948,0.13789494521915913,1978,0.7715112103674676,4.759729039125847e-05
(EXACTLY_2 1 IS_YELLOW IS_HORIZONTAL),(EXACTLY_2 1 IS_YELLOW IS_HORIZONTAL var0),0.025557363405823708,0.029749633744359016,612,0.6280622905379547,0.00023076302064174392
(EXACTLY_2 1 IS_YELLOW IS_HORIZONTAL),(EXACTLY_2 1 IS_HORIZONTAL IS_YELLOW var0),0.29234800674021244,0.41219208016991615,6628,0.8606695434738869,9.270269321915561e-06
(EXACTLY_2 1 IS_YELLOW IS_HORIZONTAL),(OR (EXACTLY_1 3 IS_PYRAMID) (EXACTLY_2 1 IS_YELLOW IS_HORIZONTAL) var0),2.0774060655385256,4.354537947103381,53440,0.9627522788236293,5.757784325921638e-07
(EXACTLY_2 1 IS_YELLOW IS_HORIZONTAL),(OR (EXACTLY_1 2 IS_CHEESECAKE) (EXACTLY_2 1 IS_YELLOW IS_HORIZONTAL) var0),2.5441439114511013,5.458480536937714,65727,0.9686467600994848,3.9899382643856e-07
